aa_oca_original;n_oca_original;aa_precepcion;t_precepcion;n_precepcion;c_numcred;c_juris;c_sjuris;c_entidad;c_inciso;c_pprincipal;c_pparcial;c_ubica_geo;i_total;e_formulario
2021;65643;2025;PRD;52674;41674;20;27;112;3;3;5;4;590924,38;A
2021;65644;2025;PRD;52818;6623;29;0;0;3;3;5;4;54882045,18;A
2021;65644;2025;PRD;52818;18619;55;0;0;3;3;5;1;1841840;A
2021;65644;2025;PRD;52818;24177;60;0;0;3;3;5;4;141680;A
2021;65644;2025;PRD;52818;35983;20;21;934;3;3;5;1;70840;A
2021;65641;2025;PRD;52844;2821;21;0;0;3;3;5;4;725340;A
2021;65641;2025;PRD;52844;24181;60;0;0;3;3;5;4;141680;A
2021;65638;2025;PRD;52855;18619;55;0;0;3;3;5;1;11334400;A
2021;65643;2025;PRD;89717;16543;45;0;0;3;3;5;8;1062600;A
2021;65643;2025;PRD;89717;24179;60;0;0;3;3;5;4;35420;A
